Age,Gender,Income,Occupation,Awareness,Purchase_Frequency,Environmental_Concern,Health_Concern,Social_Influence,Price_Sensitivity,Availability_Issue,Preferred_Category,Certification_Importance,Reviews_Importance,Brand_Story_Importance,UI_Expectation,Delivery_Expectation,Purchase_Intent
42,Female,Medium,Student,5,Occasionally,4,4,1,4,3,Personal Care,4,5,2,3,4,4.73426857113447
24,Female,Medium,Student,1,Frequently,3,4,2,3,1,Food,2,5,2,4,5,1.6654316560998508
26,Female,Medium,Working Professional,1,Rarely,2,3,3,1,3,Personal Care,2,4,4,3,5,1.4389925068539322
41,Male,Medium,Working Professional,1,Occasionally,4,4,3,2,2,Fashion,2,4,3,5,3,1.146513375900093
18,Female,Low,Student,1,Occasionally,4,5,4,3,4,Food,5,5,2,3,3,2.6868114989746656
29,Female,Medium,Working Professional,3,Occasionally,3,5,1,5,2,Home Products,2,4,4,5,3,1.0
25,Female,High,Student,2,Occasionally,2,5,1,2,3,Food,3,3,1,3,2,2.3186848952994024
41,Female,Medium,Working Professional,3,Rarely,3,5,1,5,4,Home Products,3,2,4,4,4,2.3240948603857765
28,Male,High,Student,1,Rarely,4,4,3,3,4,Fashion,3,3,2,4,2,2.7175387312417185
36,Male,High,Student,3,Frequently,4,3,4,1,2,Home Products,5,4,4,3,5,1.0
34,Male,Medium,Working Professional,4,Occasionally,5,2,3,5,4,Home Products,5,3,3,3,3,3.2272443424924564
25,Male,Medium,Student,3,Rarely,4,5,1,3,1,Fashion,2,2,3,3,5,2.8538087884384074
20,Female,Low,Student,5,Occasionally,4,2,2,2,2,Personal Care,4,4,2,4,4,1.9456835338731393
20,Female,Low,Student,2,Frequently,2,2,3,1,2,Personal Care,3,3,4,3,4,1.0
18,Female,Low,Working Professional,2,Rarely,2,4,4,5,1,Home Products,5,3,3,3,2,1.0
44,Male,Medium,Working Professional,1,Frequently,5,5,1,3,2,Personal Care,3,2,3,5,2,2.386828794492185
22,Female,Medium,Working Professional,1,Frequently,5,5,2,1,3,Home Products,2,4,1,4,3,1.0798502772555123
27,Male,Medium,Student,4,Frequently,5,5,3,1,3,Fashion,5,5,2,4,3,2.648998391892605
24,Male,Medium,Working Professional,4,Frequently,3,2,2,4,2,Personal Care,4,4,1,3,5,1.0
43,Female,Medium,Student,5,Occasionally,3,5,2,5,1,Fashion,4,2,1,3,3,2.7652364234978557
26,Female,Medium,Student,1,Rarely,5,5,4,3,4,Fashion,5,2,3,5,3,1.1117299405266243
24,Male,Medium,Working Professional,1,Rarely,3,3,3,2,1,Personal Care,4,2,4,3,5,3.5702567170535877
26,Male,Low,Student,4,Rarely,4,4,4,4,3,Personal Care,2,2,1,4,4,3.2636860694169716
25,Male,Low,Student,4,Occasionally,5,5,1,3,2,Personal Care,4,5,2,5,3,1.9944318004822508
29,Male,Medium,Student,4,Rarely,5,5,2,3,1,Food,3,4,2,4,3,2.1400613854517614
19,Female,Medium,Student,2,Rarely,3,4,4,3,4,Home Products,3,4,4,3,5,1.0
18,Male,Medium,Working Professional,3,Rarely,2,4,4,5,4,Home Products,3,3,2,5,5,1.1496708485336713
33,Female,Medium,Student,3,Rarely,5,2,1,5,4,Food,5,5,1,4,5,3.5751642101565535
40,Male,Medium,Working Professional,1,Frequently,3,2,3,2,4,Food,5,5,4,4,5,2.3973522679398567
40,Male,Low,Student,2,Rarely,3,2,4,3,1,Food,5,3,2,4,5,1.4980267728553986
41,Male,Low,Student,4,Occasionally,2,4,2,5,4,Fashion,5,3,2,3,3,1.305818108137443
22,Male,Medium,Student,1,Occasionally,5,3,2,5,3,Home Products,5,4,1,3,2,1.9514417084565507
20,Male,Medium,Working Professional,2,Rarely,2,5,2,5,4,Food,2,4,1,3,2,1.4798162437940743
29,Male,Medium,Working Professional,5,Frequently,4,4,2,5,3,Food,5,4,1,3,2,3.5329509187663275
25,Female,High,Working Professional,2,Occasionally,2,3,4,2,1,Home Products,4,5,1,4,3,1.5973714424410284
39,Male,Medium,Working Professional,1,Rarely,2,4,2,3,3,Fashion,2,5,4,5,4,1.5448109583884952
44,Other,Medium,Student,3,Rarely,3,3,4,4,1,Food,5,3,4,3,3,1.0
20,Male,Medium,Working Professional,4,Rarely,2,4,3,3,4,Personal Care,4,2,4,5,2,1.879669287224966
18,Female,Medium,Working Professional,5,Rarely,4,4,2,5,2,Personal Care,2,2,3,4,2,2.733519956678334
20,Female,Medium,Working Professional,2,Rarely,3,3,3,5,3,Personal Care,3,2,1,3,5,1.0
22,Female,Medium,Student,1,Occasionally,4,3,4,1,3,Personal Care,2,2,1,4,5,1.0
32,Female,Medium,Student,1,Frequently,2,3,1,3,2,Fashion,5,2,4,3,5,1.0
31,Female,Low,Working Professional,4,Occasionally,4,3,3,5,1,Personal Care,2,4,2,3,3,5.0
20,Female,Medium,Working Professional,1,Rarely,4,3,2,5,1,Food,2,3,2,5,4,1.0
18,Female,High,Student,1,Rarely,2,3,1,4,4,Personal Care,3,2,1,4,4,1.0
22,Female,High,Working Professional,4,Occasionally,2,3,3,1,3,Home Products,2,2,1,4,5,3.461385458082872
43,Male,Medium,Working Professional,5,Rarely,3,3,4,3,1,Food,2,2,4,4,4,4.173124336569971
40,Male,Medium,Student,3,Rarely,3,4,4,2,4,Home Products,3,4,1,5,2,1.6167103974057238
31,Female,Medium,Working Professional,3,Frequently,5,3,4,3,1,Personal Care,5,2,2,5,2,3.36461531395274
24,Female,Medium,Student,5,Rarely,3,3,3,3,2,Home Products,4,3,2,4,5,2.2912519296727507
44,Female,Low,Student,5,Frequently,2,4,4,4,2,Fashion,2,4,1,4,5,1.5936722845620575
26,Female,Medium,Student,2,Rarely,4,4,3,3,2,Fashion,3,4,4,3,5,2.6249589715349106
32,Other,Medium,Student,3,Frequently,4,2,2,4,4,Home Products,2,5,4,3,4,1.5269284501224425
32,Male,High,Working Professional,4,Occasionally,3,2,2,4,3,Food,5,5,2,5,3,1.0732233325862137
43,Male,Medium,Student,1,Occasionally,3,3,3,5,2,Home Products,5,4,4,3,5,2.519065502910365
27,Male,Medium,Student,3,Rarely,2,3,3,2,2,Fashion,3,2,2,4,4,2.3493318100548395
30,Male,Medium,Student,5,Frequently,4,2,1,4,1,Personal Care,4,2,1,4,5,1.0
36,Female,Medium,Student,3,Frequently,5,2,4,1,2,Fashion,4,2,2,3,3,2.4722785597826546
24,Male,Medium,Student,5,Occasionally,5,5,2,1,3,Home Products,2,2,1,3,5,3.2805114850439154
34,Female,Low,Working Professional,5,Occasionally,3,5,2,2,4,Fashion,3,5,4,5,2,2.789352932686766
37,Male,Medium,Student,5,Occasionally,5,3,1,4,2,Food,4,3,3,3,5,3.315956828740867
21,Female,High,Working Professional,2,Rarely,2,5,3,2,4,Fashion,5,4,3,5,2,2.093405310582237
22,Female,Medium,Working Professional,4,Occasionally,5,2,3,5,4,Fashion,4,2,3,3,2,3.5340753978705117
40,Male,Low,Student,3,Frequently,3,3,1,1,3,Personal Care,3,5,2,3,4,3.4218503820413373
24,Female,Medium,Working Professional,4,Rarely,2,4,4,3,1,Fashion,5,3,3,3,4,1.0
30,Male,High,Student,1,Rarely,4,4,3,1,1,Home Products,2,4,2,3,2,2.001686217735388
32,Male,Low,Student,3,Occasionally,2,2,3,4,4,Food,5,4,4,4,2,1.0
28,Male,Medium,Student,4,Occasionally,3,5,4,2,2,Fashion,4,4,1,4,5,1.7033128897146645
21,Male,High,Student,4,Rarely,3,4,4,1,4,Personal Care,4,2,3,4,5,1.0
30,Male,Medium,Student,1,Rarely,5,5,1,3,1,Food,4,4,2,3,2,1.0
24,Female,High,Working Professional,5,Rarely,5,4,1,3,2,Home Products,2,2,4,5,4,4.600103063715785
44,Female,Medium,Student,3,Occasionally,4,5,1,2,1,Food,4,3,4,3,5,3.4527085161984465
36,Female,Medium,Working Professional,3,Rarely,4,4,3,2,3,Fashion,3,5,3,4,5,3.117059918371079
39,Male,Medium,Student,1,Occasionally,3,4,1,1,1,Fashion,2,5,4,5,5,2.9753377129586775
19,Female,Low,Working Professional,5,Rarely,3,3,3,4,2,Fashion,5,5,4,5,4,2.812705966739795
27,Male,Low,Student,3,Occasionally,3,3,2,5,2,Personal Care,4,4,4,4,2,1.3152264304278836
30,Male,Medium,Student,3,Frequently,4,2,4,3,4,Home Products,3,5,2,3,5,1.3106607419116707
42,Female,Low,Student,3,Rarely,3,4,4,2,2,Fashion,3,3,4,5,4,3.895648612830721
38,Male,Medium,Student,5,Rarely,4,5,2,5,3,Home Products,2,2,4,5,4,4.006385565420025
23,Female,High,Student,1,Frequently,3,4,1,5,1,Personal Care,3,5,4,4,4,1.0
29,Female,High,Working Professional,3,Rarely,2,5,3,5,4,Food,2,2,4,5,4,2.263863150647535
29,Male,Medium,Student,4,Rarely,2,5,3,4,4,Fashion,2,2,4,5,5,1.0
37,Male,High,Working Professional,5,Frequently,3,4,3,2,2,Fashion,2,5,2,5,2,3.6142326145738055
28,Male,Medium,Working Professional,2,Frequently,2,5,4,3,3,Home Products,5,5,4,3,2,1.0992107002030984
43,Female,Medium,Working Professional,1,Occasionally,4,2,1,2,4,Fashion,5,5,4,3,4,4.21248594669531
40,Male,Low,Student,4,Rarely,5,3,3,1,3,Personal Care,3,4,1,4,2,4.250622868673746
42,Male,Medium,Student,3,Rarely,2,5,3,3,3,Personal Care,5,5,4,3,5,1.0
24,Male,Medium,Working Professional,2,Rarely,5,4,3,2,1,Food,2,4,4,5,2,1.7887001034503012
18,Female,Medium,Working Professional,5,Occasionally,2,3,2,3,1,Home Products,2,3,2,3,2,1.0
18,Male,Medium,Student,5,Occasionally,4,2,3,1,1,Home Products,5,2,4,5,3,2.8575613429952993
42,Male,Low,Student,2,Frequently,2,5,2,3,3,Food,3,3,2,5,2,1.51239427119956
44,Female,Medium,Student,2,Rarely,2,5,3,5,1,Food,2,5,3,3,2,2.184731728456119
42,Female,High,Student,4,Occasionally,3,3,3,4,4,Home Products,5,2,4,3,4,1.3592222623570502
37,Male,Medium,Working Professional,1,Rarely,5,5,3,1,4,Home Products,4,5,1,3,4,2.5276687199964396
30,Male,High,Student,4,Rarely,5,4,2,3,2,Home Products,3,5,2,3,3,4.426072099631673
26,Male,High,Student,4,Occasionally,4,3,3,1,3,Personal Care,3,2,3,4,5,4.342219423146413
20,Female,High,Student,3,Rarely,4,3,1,5,1,Food,3,3,1,3,3,2.677738235568157
24,Male,High,Student,5,Occasionally,5,5,3,4,4,Home Products,4,5,2,4,2,2.8502728989748465
23,Female,High,Working Professional,2,Occasionally,3,2,2,1,3,Personal Care,2,2,3,5,2,1.0
25,Female,Medium,Working Professional,1,Frequently,3,2,2,5,3,Fashion,3,3,1,4,5,1.0
44,Female,Low,Student,5,Occasionally,5,2,1,5,1,Fashion,5,4,4,5,5,2.428451735975226
26,Male,Medium,Working Professional,5,Frequently,2,2,4,5,3,Fashion,3,3,1,4,4,1.4646715205688976
22,Female,Medium,Student,1,Occasionally,5,3,1,3,1,Fashion,5,3,1,4,2,2.356295573699647
18,Female,Medium,Student,5,Rarely,2,3,1,2,1,Personal Care,3,2,1,5,2,2.660666314929992
36,Female,Medium,Student,2,Occasionally,5,5,2,1,1,Fashion,5,3,2,4,2,3.518907291787186
27,Male,High,Student,5,Occasionally,2,2,3,2,3,Home Products,5,4,4,5,2,1.6332559972802276
29,Other,High,Student,3,Occasionally,3,2,3,5,3,Fashion,5,4,4,3,2,1.0
41,Male,High,Student,2,Occasionally,5,5,4,2,1,Fashion,4,5,2,5,2,3.3946421181486532
32,Male,Medium,Working Professional,5,Rarely,4,5,4,5,3,Personal Care,4,4,1,4,2,1.8606911031332132
44,Male,Low,Student,4,Rarely,2,5,4,5,1,Food,4,5,4,3,2,2.2088103741296363
39,Female,Low,Working Professional,3,Rarely,3,4,4,4,2,Personal Care,2,4,1,4,4,2.236722334884671
41,Male,Medium,Student,2,Occasionally,4,5,1,4,3,Personal Care,5,3,4,3,3,1.0
26,Male,Low,Working Professional,5,Occasionally,3,5,1,2,3,Home Products,2,5,2,5,2,4.721511165662398
37,Male,Low,Working Professional,1,Occasionally,2,4,3,1,2,Personal Care,4,4,3,3,4,1.0
34,Male,High,Student,1,Rarely,5,2,1,2,2,Personal Care,5,3,1,3,2,3.173944570221174
34,Female,Medium,Working Professional,3,Rarely,3,3,3,1,2,Fashion,2,3,4,3,5,2.624656253352545
43,Female,Medium,Student,4,Occasionally,5,2,3,2,1,Home Products,4,5,4,4,2,1.6214291419681277
37,Male,Low,Working Professional,5,Occasionally,5,3,3,3,1,Home Products,2,2,4,3,3,2.292361429215716
29,Male,Medium,Student,3,Occasionally,3,3,3,3,4,Home Products,2,3,2,5,4,1.110877284537378
24,Female,Low,Working Professional,1,Occasionally,3,5,2,1,2,Personal Care,4,3,2,5,5,1.3683900058734157
19,Male,High,Working Professional,3,Rarely,3,5,3,4,4,Home Products,5,2,3,5,5,1.0
20,Male,Medium,Student,5,Occasionally,5,4,1,5,1,Personal Care,3,5,2,3,2,2.801538083718158
34,Other,Medium,Student,2,Frequently,4,2,1,2,3,Fashion,3,4,1,5,3,2.767381840997457
22,Female,Medium,Working Professional,5,Occasionally,2,2,1,5,2,Personal Care,2,4,2,4,3,2.569755601215846
34,Male,Low,Student,2,Occasionally,4,3,1,3,3,Home Products,2,3,4,5,2,1.123742143291377
41,Female,Medium,Student,2,Occasionally,5,5,2,5,1,Fashion,2,2,1,3,2,1.0
34,Male,Medium,Student,3,Occasionally,3,5,4,3,2,Home Products,5,3,2,5,4,2.530918434809733
44,Female,Medium,Student,3,Occasionally,3,2,4,2,4,Food,2,5,1,3,4,1.0
34,Male,Low,Working Professional,1,Occasionally,2,4,3,3,4,Personal Care,2,3,1,3,2,1.0
19,Male,Medium,Student,3,Occasionally,2,5,3,1,1,Personal Care,2,4,2,5,2,2.0171660835936356
19,Male,Medium,Student,1,Rarely,4,4,1,5,3,Fashion,4,2,1,4,5,1.0
39,Female,High,Working Professional,5,Frequently,4,2,1,5,1,Personal Care,3,5,4,4,3,1.3102460932522502
40,Female,Medium,Working Professional,4,Occasionally,2,2,4,2,3,Fashion,3,3,4,5,4,1.100603228017941
22,Male,Medium,Student,5,Rarely,5,4,4,5,1,Food,4,4,2,3,2,2.2980602954756484
18,Male,Medium,Student,3,Occasionally,4,5,1,2,4,Personal Care,5,3,2,5,2,1.9860122862025982
18,Female,Medium,Working Professional,3,Rarely,3,2,3,4,3,Home Products,5,4,4,3,4,1.0
36,Male,Medium,Working Professional,1,Rarely,3,3,2,1,1,Fashion,5,2,2,3,5,1.2942700446797062
19,Male,Medium,Student,3,Rarely,5,2,2,3,2,Food,4,5,4,3,5,2.5533573144563
38,Other,Medium,Student,2,Occasionally,2,5,4,3,4,Food,3,3,1,4,2,1.8490527303406894
29,Male,High,Student,3,Frequently,4,3,4,3,4,Home Products,3,5,2,4,3,1.5578294469735163
43,Female,Medium,Student,1,Occasionally,3,2,4,4,2,Food,2,2,3,5,3,1.0
23,Other,High,Student,1,Occasionally,2,5,2,1,1,Fashion,3,4,4,4,2,3.0443490834259
40,Male,Medium,Working Professional,2,Occasionally,4,5,2,5,3,Personal Care,5,2,4,3,4,2.786633770076255
21,Male,High,Student,1,Rarely,5,2,1,5,4,Home Products,5,2,1,3,3,1.7482180855255454
40,Male,High,Working Professional,4,Rarely,3,5,3,1,1,Home Products,2,5,3,5,4,1.128668161942612
28,Female,Medium,Student,5,Occasionally,5,4,4,1,2,Food,2,2,3,3,4,3.707050529853328
41,Female,High,Working Professional,3,Frequently,5,3,1,3,3,Fashion,3,3,3,5,4,1.724527654751009
44,Female,Low,Working Professional,4,Occasionally,5,4,2,5,1,Fashion,2,4,4,5,5,1.5434886878836993
34,Male,High,Student,3,Occasionally,4,2,1,1,1,Personal Care,2,2,4,3,3,1.9403116638001345
23,Female,Medium,Student,4,Frequently,5,4,2,5,4,Food,4,3,3,4,5,3.5470750617689664
41,Female,Low,Student,3,Rarely,4,2,3,1,4,Food,3,4,2,3,3,3.188277691655304
22,Female,Medium,Working Professional,2,Occasionally,4,2,2,2,3,Home Products,5,5,3,3,2,1.1804858406739234
37,Female,High,Working Professional,1,Occasionally,5,5,1,3,1,Home Products,4,4,1,5,4,2.2846203229116564
19,Female,Low,Student,1,Occasionally,5,5,3,1,2,Home Products,5,5,3,4,3,2.1784399666445444
